stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:StopPlace:2638:,,Kurtzea-Lezama,,"Barrio de Aretxalde,156 / Lezama",43.276579,-2.846327,ES:Euskotren:Zone:2:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26380:,,Kurtzea-Lezama,,"Barrio de Aretxalde,156 / Lezama",43.276579,-2.846327,ES:Euskotren:Zone:2:,,2,ES:Euskotren:StopPlace:2638:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26381:,,Kurtzea-Lezama,,"Barrio de Aretxalde,156 / Lezama",43.276579,-2.846327,ES:Euskotren:Zone:2:,,0,ES:Euskotren:StopPlace:2638:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26382:,,Kurtzea-Lezama,,"Barrio de Aretxalde,156 / Lezama",43.276579,-2.846327,ES:Euskotren:Zone:2:,,0,ES:Euskotren:StopPlace:2638:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2639:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.250278,-2.889793,ES:Euskotren:Zone:18:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26390:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.250278,-2.889793,ES:Euskotren:Zone:18:,,2,ES:Euskotren:StopPlace:2639:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26391:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.250278,-2.889793,ES:Euskotren:Zone:18:,,0,ES:Euskotren:StopPlace:2639:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26392:,,Kukullaga-Etxebarri,,"C/ Bernar Etxepare, 33 / Etxebarri",43.250278,-2.889793,ES:Euskotren:Zone:18:,,0,ES:Euskotren:StopPlace:2639:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2640:,,Azitain-Eibar,,"Calle de Barrena, 9-11 / Eibar",43.190078,-2.456818,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26400:,,Azitain-Eibar,,"Calle de Barrena, 9-11 / Eibar",43.190078,-2.456818,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2640:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26401:,,Azitain-Eibar,,"Calle de Barrena, 9-11 / Eibar",43.190078,-2.456818,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2640:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26402:,,Azitain-Eibar,,"Calle de Barrena, 9-11 / Eibar",43.190078,-2.456818,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2640:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2641:,,Uribarri-Bilbao,,Calle Trauko / Bilbao,43.266825,-2.919685,ES:Euskotren:Zone:3:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26410:,,Uribarri-Bilbao,,Calle Trauko / Bilbao,43.266825,-2.919685,ES:Euskotren:Zone:3:,,2,ES:Euskotren:StopPlace:2641:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26411:,,Uribarri-Bilbao,,Calle Trauko / Bilbao,43.266825,-2.919685,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2641:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26412:,,Uribarri-Bilbao,,Calle Trauko / Bilbao,43.266825,-2.919685,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2641:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2642:,,Zamudio,,Mikel Zarate Plaza / Zamudio,43.28417,-2.86526,ES:Euskotren:Zone:2:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26420:,,Zamudio,,Mikel Zarate Plaza / Zamudio,43.28417,-2.86526,ES:Euskotren:Zone:2:,,2,ES:Euskotren:StopPlace:2642:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26421:,,Zamudio,,Mikel Zarate Plaza / Zamudio,43.28417,-2.86526,ES:Euskotren:Zone:2:,,0,ES:Euskotren:StopPlace:2642:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2643:,,Forua,,"Barrio Elejalde, s/n / Forua",43.33205,-2.673637,ES:Euskotren:Zone:8:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26430:,,Forua,,"Barrio Elejalde, s/n / Forua",43.33205,-2.673637,ES:Euskotren:Zone:8:,,2,ES:Euskotren:StopPlace:2643:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26431:,,Forua,,"Barrio Elejalde, s/n / Forua",43.33205,-2.673637,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2643:,,0,ES:Euskotren:Level:1:,
