table_name,field_name,language,translation,record_id,record_sub_id,field_value
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737660:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737690:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737700:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737730:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737740:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737770:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737780:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737810:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737820:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737850:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737860:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737890:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737900:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737930:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737940:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10737970:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10737980:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10737990:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10738010:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia-Lasarte,ES:Euskotren:Journey:10738020:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10738030:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10738050:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10738070:,,
trips,trip_headsign,fr,Hendaye,ES:Euskotren:Journey:10738090:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10738110:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10738860:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10738920:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10738960:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739000:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739040:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739080:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739120:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739150:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739200:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739240:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739280:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739320:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739360:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10739400:,,
