,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
1021,Donostialdea,Debagoiena,Usurbil,Bergara,Coche conductor,06:00,22,Usurbil,2,4,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,3,-2.0735778886387455,43.27209851453156,-2.033693,43.256347
1022,Donostialdea,Donostialdea,Donostia/San Sebastian,Andoain,Autobús interurbano,07:30,22,Donostia/San Sebastian,2,2,1,Otros hogares con niños,1,6,1,1,2021,27634.26,4,-1.9621845451124484,43.32406269260162,-2.033693,43.256347
1023,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,12:00,99,Donostia/San Sebastian,2,4,3,Otros hogares con niños,2,3,1,2,2021,24120.435,2,-1.9755571817802653,43.321631742340884,-2.033693,43.256347
1024,Bidasoa,Bidasoa,Hondarribia,Hondarribia,Andando,10:00,22,Hondarribia,2,2,1,Otros hogares sin niños,1,4,1,1,2021,27359.31,4,-1.7997342639258016,43.378421833936564,-2.033693,43.256347
1025,Donostialdea,Bidasoa,Errenteria,Hondarribia,Coche conductor,09:00,22,Errenteria,1,2,2,2 adultos,2,4,1,1,2021,23692.86,3,-1.8979886571013975,43.31367951878586,-2.033693,43.256347
1026,Donostialdea,Goierri                              ,Andoain,Beasain,Coche pasajero,13:25,22,Andoain,2,2,1,Otros hogares sin niños,1,5,1,1,2021,24067.67,2,-2.027291480384506,43.21129489532222,-2.033693,43.256347
1027,Donostialdea,Donostialdea,Lasarte-Oria,Lasarte-Oria,Andando,17:00,22,Lasarte-Oria,2,2,2,Otros hogares sin niños,2,4,1,1,2021,25794.56,3,-2.017120622114545,43.26151155102959,-2.033693,43.256347
1028,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche pasajero,17:00,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),2,5,1,1,2021,26467.209999999995,4,-1.9779507148689766,43.322208788908824,-2.033693,43.256347
1029,Debabarrena,Debagoiena,Eibar,Arrasate/Mondragon,Coche conductor,18:30,22,Arrasate/Mondragon,1,2,1,2 adultos,1,4,1,1,2021,27374.06,4,-2.4674630183057737,43.18519067430986,-2.033693,43.256347
1030,Bidasoa,Bidasoa,Hondarribia,Irun,Bicicleta,17:30,23,Irun,2,1,1,Otros hogares con niños,1,4,1,2,2021,20769.05,1,-1.792242417978413,43.364648689005755,-2.033693,43.256347
